nomenclature,code
zoom gel,9999
[1722] bonded crown - non-precious metal,418
podiatry redressing 15,207
physio initial insurance 40,9999
[701] application of fissure sealant - o,301
fixed adjust,9999
dvla pays for client 83.00,9999
podiatry initial 30,9999
counselling,9999
hyg 60mins,206
surg xla gs,9999
[711] topical fluoride application,300
botox/filler,3034
GENERAL,9999
private hygienist,200
instructions to therapist,9990
20 min hygienist visit (private),202
standard porcelain veneer,438
prep visit,9999
standard porcelain-bonded crown,417
standard all porcelian crown,416
tooth whitening application (full),1114
standard porcelain-bonded bridge,920
enhance porcelain veneer,438
composite bonding,401
hd tooth whitening,1128
treatment coordinator,9999
enhance all porcelain crown,416
enhance wax-up,116
standard all porcelain bridge,920
enhance all porcelain bridge,920
extensive examination,100
platinum porcealin veneer,438
immediate acrylic denture,726
sedation for fees 25.01 to 50.00,9999
standard porcelain bonded crown,417
enhance porcelain-bonded bridge,920
difficult extraction,601
whitening enlighten system,9999
enhance porcelain-bonded crown,417
laser gum contouring,9999
platinum wax-up,116
addition of tooth to denture,712
standard wax-up,116
zoom! 1-hour whitening,9999
standard post & core,433
tooth whitening application (u/l),1114
rct info,9999
standard porcelain inlay,409
molar specialist rct,500
60 min hygienist visit,206
soft tissue surgical extraction,601
enhance partial acrylic denture,707
sedation for fees over 50.00,9999
set up - invisalign & 6ms,1005
standard full acrylic denture (u/l),726
standard maryland pontic,911
soft reline to denture,716
seation by injection (occ),9999
enamelplasty,9999
ultimate full  acrylic denture,726
platinum all porcelain bridge,920
airflow stain removal,240
specialist endo consultation,507
implant restoration,814
j. kim porcelain-bonded bridge,920
pre molar specialist rct,510
insisor specialist rct,511
sedation by inhlation,9999
ct scan 1 arch,108
elite full acrylic denture,726
superior porcelain bonded crown,417
laboratory details,9999
sedation for fees 10.01 to 25.00,9999
treatment discussion,9999
re-etch & recement,436
surgical crown lengthening per quadrant,208
enhance post & core,433
bone graft material,9999
re-rct,504
bio material,9999
standard full acrylic denture,726
re rct incisor to pre molar specialist,516
implant report,9999
inman aligner orthodontics,9999
standard porcelain jacket crown,416
enhance maryland pontic,911
drug prescribed,1103
elite partial acrylicdenture,707
platinum porcelain-bonded crown,417
cosmetic enquiries,3034
gingival contouring,9999
pt complaints,9999
membrane,9999
splint for wire insert (additional fee),1126
implant consult,800
standard full gold crown,419
superior porcelain jacket crown,416
platinum full denture (u/l),726
fissure seal,301
re rct molar specialist,504
smile check profile,9999
standard gold inlay,408
all on 4,9986
canine specialist rct,502
emergency,126
*Z,9999
composite core,401
clear aligner set up,9999
2 implants and 3 unit bridge,801
enhance porcelain inlay fit,409
enlighten system whitening gel top up syringe,9999
enhanced full (u/l) denture,726
ct scan both arch,108
enquiry/emergency,126
smile makeover check list,9999
recment,422
CONSULT,100
clear smile,9999
cons,100
denture,726
upper implant supported denture,803
enhance full gold crown,419
bleaching,9999
treatment appointment,9999
bone subsitutute material,9999
whitening services,9999
inman set up,9999
fibre post,449
FIXEDRETAINER,1009
4 upper implants and upper denture,801
sedation by injection handicap (occ),9999
root canal dressing,207
capitation payment special needs,9999
lower implant supported denture,803
repair of other crown,422
bleach refill x 10,9999
consent,9999
estimate,9999
deposit,9999
extraction complex,601
fast braces - metal,9999
enhance gold inlay,408
lower  implant retained denture 2 implants,803
sedation for extracting 1-4 teeth (occ),9999
facing for crown,9986
pt requests copy of medical records,9999
menbrane material,9999
bleach per tube,9999
special attachments,915
denplan laboratory fee,9999
perio consult,214
implant bone graft,812
nhs transition discount,9999
timetimed treatment charge (45 mins),9999
perio graft,9999
implant retained bridge abutment,805
"""bridge (amalgam per unit)""",920
ortho private adjust,1004
bupa insurance surgical extraction,601
surgical extraction - wisdom tooth,601
posterior composite restoration,401
scale and polish dentist,228
refix clasp,715
tooth bleaching trays,1115
bupa insurance composite inlay fit,410
implant retained bridge pointing,814
hygienist & exam,101
implant express denture delivery,9986
implant sinus lift partial,840
glass ionomer filling - medium,403
"""ceramic artglass/gradia inlay onlay o""",413
sundries diagnostic wax-up (per tooth),116
zirconia crown fit,427
emax crown prep,414
independent denture partial 1-3,707
implant placement surgery,801
root canal treatments,500
aesthetic omega 900 bridge unit,920
ceramic empress crown,416
amalgam filling - large,400
ceramic empress inlay / veneer,438
independent denture full upper/lower,726
maryland preps & imps,900
enlighten in surgery,1113
sundries soft night guard,1106
zoom whitening treatment,1113
promotional whitening,1113
aesthetic semi precious bonded bridge,920
amalgam restoration medium,400
wax try in,703
aesthetic nicor bonded bridge unit,920
aesthetic bonded semi-precious crown,418
removal of sutures and review,602
sundries stainless steel clasp/roach,724
jaw registration,9999
ziconium full crown,425
ceramic artglass/gradia crown,425
aesthetic nicor n/p bonded crown,417
sundries study models from,110
primary denture impressions,700
secondary denture impressions,701
aesthetic semi-precious bonded bridge,920
"""gold shell crown inlay or 3/4""",419
glass ionmer restoration small,403
stage 2 implant surgery,801
filling composite,401
metal ceramic crown fit,427
sundries study model,110
ceramic procera crown,416
bridges - 3 unit bridge - if pbc used,920
power whitening,1113
implant uncovering,851
root treatment michael,500
valoplast denture,721
nhs scale + polish with hygienist,200
rotated tooth,9986
4/12 hygienist prescription,1103
initial periodontist consult,214
whitening of single tooth,9986
tavi molar endo,515
1st visit root canal treatment,500
2nd visit root canal treatment,503
eximp1 with ct scan,100
full mouth xrays,107
dentomycin 10min app,9999
facebow registration,3034
missed hyg appointments,9972
implant retained denture,803
root amputation,513
air abrasion,227
tavi anterior endo,515
clearstep imps,1128
try-in of implant denture,703
oral hygiene check,9999
clearstep reveiw,1001
upper arch cfast,1028
clearstep orthodontics severe,1032
soft lining for denture,718
cfast record taking,9999
bite for implant denture,702
cfast debond,9999
full perio assessment 6ppc & xrays,214
cfast wire change,9999
sealant restoration,301
clearstep discussion,9999
clearstep diagnostic appointment,9999
recalled attendance up to 1 mile,9999
denture f-/-f fit,703
ct stent,9999
artidox gel treatment,9999
abfraction,9999
initial root treatment michael,500
hypnotherapy session,9999
advance payment for treatment,9999
addition to lower metal,713
surgical stent,1126
cfast lower arch,1028
oral hygiene review,103
amoxycillin 250mg x 21,1102
panoral for clearstep,107
sinus lift,840
out of hours charge,9999
IMPLANT CR AD,815
implant block graft,814
ortho mouthguard,1107
211,9999
bupa insurance medium radiograph,106
bupa insurance post fit,449
whitening exam,9999
timed treatment charge (15 mins),100
implant whole  arch,801
review 15 mins,103
whitening,1113
gen anaesthetic special medical diff,9999
acute conditions treatment,9999
bupa insurance root canal filling,9977
bupa insurance denture addition,712
corsodyl daily mouth wash,9999
2201,9999
101-,9999
bupa insurance initial root canal treatment,500
ortho private fixed ret,1009
implant impacted,610
GENERALNOTE,9990
additional restoration fee,9999
lab services,9999
prescription olny,1103
favourites,9999
scale and polish hygienist,200
one direction singing toothbrush,9999
renewal of soft lining in denture (occ),717
antibiotic dispensing,9999
sedation under capitation,9999
emergency exam,126
endo rct anterior,515
bupa insurance glass ionomer filling,403
bupa insurance occlusal splint,1126
perio open flap,9999
implant crown bio,815
backing teeth in denture (other's care),9986
bupa insurance crown recement,422
bupa insurance porcelain bonded crown,417
endo rct retreat,504
endo rct premolar,510
implant base,801
upper or lower removable appliance hs,1035
15 min hygienist visit,231
urgent treatment,104
timed treatment charge,9999
small filling,399
partial denture,707
ga for treatment over 50.00,9999
ga for treatment 25.01 to 50.00,9999
ga for extracting 1-4 teeth,9999
hyg20mins,202
tooth bleaching -,9986
examination 10mins,100
ga for treatment 10.01 to 25.00,9999
bupa insurance new patient examination,102
additional sextant fee for flap surgery,9999
implant base surgery,801
domiciliary visit > 40 miles,1132
implant crown ad,815
implant cons in ref,800
bupa insurance hygiene visit 30 minutes,203
implant impression,850
hygiene airflow,240
bupa insurance posterior composite filling,401
implant cons dcp ref,800
bupa insurance routine examination,100
ga for treatment up to 10.00,9999
implant extraction,852
implant fit,845
bupa insurance small radiograph,105
implant placement,801
implant temp denture,9986
discounted private hygienist treatment,231
non precious metal crown,420
endo consult,507
bupa insurance anterior composite filling,401
implant surgical extraction,601
implant sinus lift full,840
hygienist visit 3/12,231
nhs failed to attend fee,9972
bupa insurance extraction,600
cast metal splint,1126
implant gbf,801
bupa insurance amalgam filling,400
bupa insurance scale and polish,200
bupa insurance periodontal treatment,201
oral s  extraction,600
bupa insurance root canal treatment,500
endo rct molar,515
hygienist periodontal treatment,201
zirconium crown,425
whitening per arch,1113
10 point assessment,9999
panoral for implants,107
open drainage,9986
miscellaneous implant appt,800
additional fee for occlusal analysis,9999
sectional scan,9999
implant provisional bridge,817
clearstep retainer,1010
clearstep orthodontics moderate,1032
interproximal brush,9999
full scan,9999
toothache,104
fta hr appt,9972
cerec crown,416
loyalty voucher new patient examination,102
mounting of models on denar,9999
domicillary visit,1132
clearstep bite plane,599
bridge with post impressions,900
ct report,108
tepe proximal handle,9999
fixed retainer,1009
amoxycillin 500mg x 21,1102
nite white solution,9999
hygienist + examination,101
interproximal handle,9999
orthodontic retainer,1010
bitewing radiographs,105
full or 3/4 crown non precious metal,420
implant retained arch bar,9999
connective tissue graft,9999
colgate duraphate 5000 51g,9999
fluoride,300
ridge expansion,9999
clear step sectional,9999
clearstep removable bite blocks,9999
clearstep orthodontics,9999
prep for applia-o,9999
recalled attendance up to 1 mile (occ),9999
opalescence tooth whitening,9986
gold veneer for denture,408
corsodyl mouthwash,9999
glide floss,9999
*COLGATE A1500,9999
ga under capitation,9999
CZ,9999
hypnotherapy initial consultation,9999
ga - intubation,9999
treating own gds patient under pds,9999
clearstep bonded retainer,1021
clearstep indirect bonding,1032
clearstep closing screw,1032
clearstep orthodontics mild,1032
soft bite raising appliance,9999
clearstep appliance,1032
ridgemapping,9999
dentaprime implant consultation,800
dental health appt,9999
family examination,100
trauma - fracture,9984
ga for extracting 17+ teeth (occ),9999
add tooth to removable ortho appliance,9986
gold clasp,724
exam + hygienist,101
gold denture tooth,713
extra whitening syringes,9999
nurofen plus,9999
referral assessment,9999
rep-ot  ul7,9986
d9 timer,9999
SZ,9999
superfloss,9999
complains of,9999
routine hygienist visit,231
rads checked,9999
notes about treatment,9990
examination and scale and polish,101
bitewing xrays,105
denture imps,700
existing glass ionomer,403
administration of local,9999
maintainence hygienist appt 20,202
dentocare brushes,9999
denture try appt,703
examination maintainence plan,100
denture bite appt,702
missed appointment,9972
denture finish,726
implant review appointment,813
scale + polish (no charge),200
periapical radiograph for implants,106
hygienist visit for prolonged treatment,231
hygienist prescription for la,1103
orchard lane membership plan hygienist,200
missed hyg. appointment,9972
first implant assessment,800
3 monthly hygienist prescription,1103
periotome extraction,600
implant second assessment,813
discussion pre implant therapy,800
bone graft,9999
crown repair,422
annual monitoring appointment,813
implant temporary,801
chronic perio,201
bridge prep,900
denture repair unregistered pt,715
dressing of root canal,207
initial oral hygiene consultation,231
hyg mh checked,9999
adhesive bridge preparation & impression,900
scale and plaque prevention,231
dental plan annual fee,9999
sedation per hour,9999
out of hours fee,9999
sedation consultation,9999
discussion of treatment options,9999
initial assessment,9999
temporary post crown,421
addition of clasp,724
cfast reveiw,1001
empress veneer fit,437
exam private,100
scale polish,200
private appointment fee,9999
composite,401
existing amalgam,400
[201] small films,105
pt c/o,126
[generated during conversion process due to presence of closegap],9980
existing composite,401
fit,9995
exam and sp,101
quote payment,9999
tablets given to pt,9999
surface o - resin fillings - sound,399
prep,9999
crown,415
[132] hygienist treatment,203
partially erupted,9991
did not attend,9972
recement crown/ veneer/bridge,422
porcelain crown - sound,416
[1716] crown jacket - porcelain,416
panx private,107
gap closed,9983
[105] emergency appointment,126
abutment,9950
whitening gel,9999
laser,9999
check,9999
[2733] partial denture - acrylic,707
grind tooth,9986
crown post,415
invisable aligners,1005
temp crown,421
expose implant,851
bite,702
[1721] bonded crown - gold or precious metal,419
porcelain abutment - sound,9950
bupa insurance hygiene appointment,231
perio consultation,214
ceramic onlay,409
photograph,109
whitening full mouth,1113
changed - reset tooth,9978
porcelain pontic - sound,906
bridge retainer,923
britesmile,9999
britesmile and tray system,9999
broken tooth,9986
bupa essentials adult exam,100
bupa essentials emerg,126
bupa essentials full acrylic denture,726
bupa essentials rct back,500
BZ,9999
c.t scan,108
cavity,9997
cbct report,108
cbct scan analysis,108
cfast single arch,1028
changing locator inserts,853
charge for late appointment,9972
charge for late cancellation of appt,9972
click tbrush,9999
colagen bio-oss,9999
colgate gel-kam (p),9999
comp inlay,410
composite abbrasion cavity,401
composite core reconstruction,401
composite filling complex,401
composite filling simple,401
composite veener,435
composite veneer,435
consultation appt,9999
consultation for sleeping device,9999
copy of notes,9990
core & post bridge prefabricated,433
core and post,433
core and post for crown,433
core/post prefabrication,433
corsodyl gel (p),9999
corsodyl mint,9999
corsodyl spray,9999
cosmetic contouring,9986
covid safety tariff 2,9999
crown duceragold,419
crown empress,415
crown metal rear teeth,420
crown porcelain bonded back teeth,417
crown precious bonded,417
crown pro cera,416
crown resin bonded,418
crows feet,3034
currette and irrigate,9999
decalcification,9986
deep bleaching,1113
DEN EXT,600
denplan comp fill,401
denplan crown prep,414
denplan fees,9999
denplan rct,500
denplan with dentist,100
dental finance,9999
super numary extraction,600
surgery involving soft tissue only (occ),9999
surgical debridement and bone augmentation,9999
surgical gum bone correction,9999
surgical tooth extraction,601
tap/apnoea guard,9999
tariff 1 non agp,9999
tariff 2 agp,9999
teeth whitening,1113
temp denture,726
temp veneers,435
temporary bridge,924
temporary bridge other (other's care),924
temporary dressing,207
tepe blue,9999
tepe orange,9999
tepe pink,9999
tepe red,9999
tf,9999
thin metal identity strip,9999
treatment free of charge,9999
TRY,598
tunnel restoration,400
two anterior cad,401
ul3 smooth and ajust bridge,9999
upper and lower dentures,726
upper and lower tooth whitening,1113
upper bleaching,1113
urgent extraction,600
urgent recement crown,422
valplast denture,721
veneer prep,439
vivera ratainer for one arch,1011
vivera upper and lower,1011
wax up,116
white clasps on denture,724
XLA DEN,9999
xray large film (occ),107
yello tepe,9999
zirconia crown,425
zoom tooth whitening,1113
existing over erupted tooth,9986
operculectomy,9999
repair veneer,436
existing precision attachment,915
dom visit,1132
sedation for extracting 1-4 teeth,9999
domiciliary visit 10 - 40 miles (occ),1132
full denture try in stage,703
immediate f/- or -/f,726
diagnostic wax up (per unit),116
ridge preservation for implants,814
milled bar,9999
duraphat toothpaste 5000,9999
VZ,9999
AMAL,400
periodontal surgery,221
DZ,9999
gum shield-clear,1107
zirconia bridge,425
amalgam filling 4 surfaces,400
glass ionomer temporary filling,403
silver inlay fit,451
inlay recement,411
appt for all comp & amalgam fillings,399
self extraction,600
exam notes,9990
telephone advice,9999
final bleach app,9999
incomplete rct,9986
non prec metal,415
stoning tooth,1116
private scale and polish,200
3621  ul6,9986
bridgework (per unit),920
internal whitening,1113
melissa hygiene notes,9990
taking of material for pathological exam,9999
service information not available,9999
ca screening,9999
composite filling small,401
denplan exam,100
composite restoration,401
private exam,100
toothwear,9986
composite filling large,401
small composite restoration,401
porcelain bonded bridge (pontic),908
porcelain bonded bridge (abuttment),9950
implant (surgical fee),9999
hygienist 20 min,202
rct - existing,504
emergency examinations,126
routine extraction,600
hygienist's custom screen,9999
appt for pain,126
cancer screeing,9999
40min bpe3/4 half mouth rsd/indices,204
medium  amalgam restoration,400
hygienist 30 min,203
stoning,1116
mobile grade 1,9986
root canal 2nd visit,503
scale and polish with dentist,228
tooth bleaching trays fit,1115
small amalgam restoration,400
crown fit (any),427
mobile grade 2,9986
new patient,102
impressions for tooth bleaching,1128
implant placement (per implant),801
large composite restoration,401
large  amalgam restoration,400
crowns pbc,417
review appt,103
root canal treatment 3,500
1xbasic hyg+6/12 hyg recall,200
amalgam large,400
pick up imp,9999
fit partial acrylic denture,703
np consultation,102
root plane,9986
mobile grade 3,9986
1 or more hyg visit req'd.initial 3/12 r,9999
rct,500
try in of denture,703
implant crown basic (fit),845
home whitening,1114
bonded amalgam,400
scale and polish,200
post crown prep & impression(s),414
prescription,1103
invisalign fullmouth,1005
full metal crown,420
1 year rev,103
crown prep and imp(s) posterior,414
amalgam filling mo/do,400
1 hour hygiene appointment,206
extipation,9986
mobile grade2,9986
direct composite veneer,435
2 bitewing xrays,105
free consultation.,100
consultaion inc x-rays & written report,100
full perio exam,214
existing bridge pontic,922
reline denture/chairside,723
gum shield,1107
root planing,9986
denture repairs,715
diagnostic  waxup unit,116
invisalign full,1005
cosmetic consultation,3034
denplan scale and polish,200
2nd stage surgery,9999
composite repair,401
root canal clean/td,201
toothbrushes etc.,9999
second hygiene appt,200
acrylic dentures,726
denture lab fee,9999
hard denture lining,716
tooth fracture,9984
open for drainage,9986
invisalign clear braces,1005
new patient exam,102
fit bleaching trays,1115
labfee,9999
posterior composite 2 surfaces,401
wear and tear,9999
amalgam small,400
dental implant per implant,801
perio visit 2 of 2,201
perio visit 1 of 2,201
implant uncovering surgery,851
final pa xray,107
special trays,9999
fit appointment,598
denplan leaving exam,100
bleach review appt.,9999
exam f/f denture,100
issue of prescription,1103
bleach tray imps,1128
implant bridge unit,817
fit partial acrylic denture.,703
porcelain fused to metal crown,420
EXAM CHILD,124
adjustment to denture,714
tooth bleaching - in surgery,1113
bleech review appt.,9999
cobalt chrome denture,726
bridge fit,926
periodontal deep clean (pre perio tx),201
fpe+r/pl with la +ohi 1+/12 recall,9999
broken appt fee.,9972
bleeching,1113
temp filing,402
large xray,107
amalgam filling 1 surface,400
fracture,9984
remove crown,9986
lucia jig,9999
other splint michigan / tanner,1136
extract root,600
new pt pain,102
temporary post crown fit,421
porcelain veneers fit,437
posterior composite 1 surface,401
mobile grade3,9986
graft small with synthetic material,9999
impression for study models,1128
chrome skeleton dent fit,703
re try of denture,703
advanced bite guard,599
implant analogue,801
fit bleeching trays,1115
bleech tray imps,1128
failed dental appointment,9972
biteguard/gumshield (clear),1107
crown impression,414
pain,126
implant and crown,815
amalgam filling mod,400
biteguard/gumshield (coloured),1107
prefab core and post,433
temp bridge,924
bridge per unit,920
sedation assessment,9999
graft medium with synthetic material,9999
dentures - existing,726
seal open canal,9986
crown lengthening - single tooth,208
consultation inc xrays + written report,100
FULL MOUTH,9999
dovetail,9999
intraoral and extraoral exams,100
full mouth series rads,105
splint,1126
sedation for fees over 50.00 (occ),9999
facial treatment,3034
amalgam filling 5 surfaces,400
other forms of treatment,9999
gumshield/biteguard (flag),1107
court fees,9999
bleaching hyg polish,231
private home visit,9999
HZ,9999
non-vital pulpotomy (other's care),506
hygienist appointment,231
top up whitening syringe,9999
corsodyl gel,9999
partial plate denture (other's care),707
bh denture tx plan,9999
discount code,9999
full upper porcelain bridge,920
full consultation,9999
anti snoring device,1106
defective restorations,9999
aesthetic crown lengthening,208
unfitted inlay,410
full lower fixed acrylic on metal bridge,920
captek bridge fit,926
non-surgical perio (per hour),201
composite restorations,401
lab made composite face,9999
FAM1,9999
temporary bridge lab made (other's care),924
sedation preop eval,9999
mini implant for prsthetic use,801
treatment carried out by hygienist,231
gold inlay 2+ surfaces,408
chronic perio 2 month review,239
floss/tape,9999
carious lesions composite,9976
emergency call out > 1 mile,9999
denture made/not fitted,726
biteguard/gumshield (harlequin),1107
telephone consultatin,9999
lingual bar,9999
STEX,9999
metal venner,438
rct deciduous tooth,9986
lab fee,9999
periapical radiograph,106
simple ortho appliance,1032
amalgam repair,400
letter to doctor / consultant,9999
porcelain fused to metal bridge,920
root filling molar,9977
removal of fractured portion of tooth,9986
question mark,9999
acrylic/flexible partial denture,721
locator abutment,853
new patient implant examination,800
root filling premolars/double root,9977
fissure sealing,404
core build up no post,446
acrylic or flexible acry partial denture,721
imps for porcelain bonded bridge,900
opened for drainage,9999
existing non precious crown,415
lab made composite facing for pontics,9986
root filling incisor/canine,9977
final pa,500
bridge zirconia,917
facebow record,3034
hygienist code 4 referral,9999
cosmetic adjustment,9999
recement maryland bridge,913
removal of bridge,9999
new patient cons with nigel,102
addition of tooth,712
study cast,110
chronic perio 3rd treatment,201
refundable deposit new patient consult,9999
non precious metal,415
e max,423
sedation by injection,9999
inman aligner,9999
3 surface amalgam,400
impressions for denture,700
fixed braces,9999
post crown,415
graft large with synethetic bone,9999
tooth bleaching refills kit,9999
periodontal therapy per sextent.,201
exam/sp done by dentist,101
supernumary tooth,9986
polish for bleeching,200
retainers,1010
guided bone regeneration/ridge augmentat,9999
diagonstic wax-up,116
amalgam filling 2 or more surfaces,400
tooth fracture filling,9984
"""recement refix crown  ur1""",422
"""pulp extirpation seal cavity",506
bonded crown full non-precious metal ...,418
crown - cast jacket non-precious meta...,416
whitening promotion,9999
3 for 2 tepe packs,9999
perio treatment 3,201
"""pulp extirp dress perm. Tooth",506
"""mucoperio. Flap bone resection upper...""",9999
incomplete syn. resin denture - setup...,726
open root canals for drainage  ll4,9999
"""ret. other alloys cast full jacket p...""",420
basics exam,100
xray complex,108
perio review 1,214
stoning and smoothing surface  lr7,1116
sinus,9999
perio treatment 2,201
other endontic treatment involving 1+...,9999
root filling  lr6,9977
crown metal,420
"""exts spec. diff. imp.8s no rt/crown ...""",601
"""facing comp.",415
confluent compound cavity  ll6,399
apicectomy (premolar)  ul5,9986
extractions  ur21,601
carious tooth: lle surface: b,9976
3g amoxicillin sachet,1102
acid etch bridge retainer  ul13,923
other repair of crown  lr6,422
"""1731  ur5 lr5",433
pin or screw for core fab. in mouth  ur7,433
1706  lr6,9986
invisalign vivero retainers,1005
nhs exam & pvt hyg,101
bridge 3 unit,920
starter pack for ortho treatment,9999
re-implant luxated perm. tooth after ...,9986
"""acid etch bridge pontic bonded  ul2""",902
"""core and post pre-fab. non-precious ...""",433
"""glass ionomer when extraction contra...""",403
1822 toothlr2 bridge pontic - not acid etch - pm,417
1802  toothul3 material:gold pontic,904
duraphat toothpaste 2800,9999
24 clindamycin 150mg,1102
be white promotion,9999
airflow 30,203
core and post cast precious metal  ll1,433
porcelain jacket crown  ur2,416
mod with/without other surfaces  ul4,399
invisalign single arch,1005
pain/niggling tooth,9986
premium ortho pack,9999
tepe travel case,9999
amalgam filling (2 or more surfaces) ...,400
apicectomy (buccal root(s) of upper m...,9986
removal of post fractured at or below...,440
inlay comp. with incisal angle  ul6,410
incomplete syn. resin denture - comp....,726
"""ret. other alloys cast full jacket n...""",419
fillings - glass ionomers etc.  ul67,403
porcl. jacket crown bonded to wrought...,416
root filling retained deciduous tooth...,9977
"""ret. bonded full non-precious metal ...""",420
renew facing (inlay)  ur1,9986
cast precious metal pontic  ul4,904
pin or screw retentions  ul4,434
amalgam filling (1 surface)  ur6,400
fit previously unfitted post,449
"""recemnt crown/bridge""",422
1104  tooth:lr6 hemisection,9986
1101 tooth: ur6 upper gingivectomy,9986
xray simple,105
treatment of chronic periodontal dise...,201
patient consultation,102
mo or do with/without other surfaces ...,399
nhs full / full acrylic denture fit,706
hygiene prescription,1103
"""fissure sealant alone  ur7654 ul4567",9999
fit implant retained bridge,817
review locators,853
refix rochette splint,1126
consultation re iv,9999
zirconia ceramic bridge,917
10% carbamide peroxide tubes,9999
treatment_60,9999
open tray impression,1128
child check up under 5,124
dcp double arch,9999
surgical double arch,9999
INVIS-CONSULT,1012
tighten implant,814
imp fro removable appliance,1128
denplan assessment,9999
impression for denture repair,701
add to tooth to denture,712
verbal consent obtained to take relevant extra oral clinical photographs,9999
filling small silver,400
examination under 5 (baby) no treatment,124
icon interdental purple,9999
refix post crown,422
denture impressions & bite,700
pa taken,9999
clinical intra/ extra oral photographs taken with pt consent,128
fit lower fixed full arch implant retained bridge,817
records fro invisalign,1005
tempory bridge,924
nire white pocket pack special,9999
exam followed by hygienist,101
icon interdental green,9999
implant retained bridge pontic,848
invisalign full case fee,1005
3% hydrogen peroxide tubes,9999
fixed appliance single arch,1032
non-precious metal crown,420
upper/ lower partial dentures,707
cosmetic teeth straightening orthodontics oasis,1032
bite and special tray,599
bite for locators,599
adjust locators,853
scale&polish with ra or iv,200
oral-b stages 3,9999
scale under local,200
impression for locators,1128
metronidazole 200mg (x21),1102
childrens gumshields-plain,1107
fissure sealant (with prep),301
remove definitive upper fixed implant retained bridge,9999
dcp implant placement strau,105
specialist endo molar (stage 1),515
implants x 3 placement,801
crown ceramic-zironia,425
oral-b satin tape,9999
implant insurance,507
amoxycillin sachet,414
hyg for severe periodontal disease,201
impressions for bite blocks,1128
root locator,9999
stainremoval&polish,231
whitening kit,506
FILES,724
glide floss mint,9990
oral-b stages 4,9999
clincheck,9999
remove lower temporary fixed implant retained bridge,9999
dcp implant impressions strau,850
implants x 4 impressions,801
periochip placed by the hygienist,216
icon interdental grey,9999
implant dental insurance,9999
maintenace plan hygienist appointment,231
free implant consultation-guardian ad,800
corsodyl daily interdental bundle x2,9999
balance of a/c,9999
impression for special tray,1128
colgate duraphat 2800,9999
call out to reopen surgery,9999
crown lenghten,9999
gum soft picks,9999
fit maryland bridge,910
fit mill bar & denture,726
corsodyl mint 600ml,9999
tepe special care toothbrush,9999
ACZ,9999
periodontal (gum) assessment,214
pain appointment,100
fit locator retained over denture,853
try in wax overdenture,703
private examination,100
guided bone regeneration at time of implant placement- small,812
fit implant crown,845
exam & scale and polish with dentist,228
guided bone regeneration as initial surgical procedure,211
impressions arch single,1128
core build,450
specialist endo molar (stage 2),515
surgical implant x 4 stage 1,801
impressions for bonded retainers,1128
amoxycillin 500mg 21s,1102
corsodyl daily tape,9999
colgate fluorigard daily 400ml,9999
curaprox mono handles,9999
study model fee,110
carbamide peroxide 16%,9999
currettepocket,9999
crown adjustment,9986
tmj problem,9999
shade take,9999
additional graft material,9999
perio chip application,216
cracked veneer,9999
zoomplus take home procedure,1114
braun hummingbird handle,9999
bite for temport denture,702
thorntons bridge & implant,817
9% hp -10 pack kit,9999
bone  ll6,601
therasnore zx appliance fitting,1107
orthodontic diagnostic set up,1032
fuctional appliance,1035
impressions taken in putty and wash,1128
bruxism appliance-michigan,9999
incogniti adjustment,9999
exam s&p - dentist,101
periapical(s) xray and report,106
childrens exam,124
bite wing(s) xray and report,105
report on  x-rays,9999
plaque and tartar deposit removal,9999
note- tooth specific,9995
emergency consultation,126
exam scale & polish,101
oral health check,100
prescription for hygienist,1103
exam - after hygienist,100
white filling,401
exam linked to hyg,100
labial fixed appliance adjustment,1111
whitening tray impressions,1128
monitor and reassess,9999
specialist consultation - endo,507
additional root canal appointment,503
implant crown fixation,845
whiten upper and lower teeth,1113
abutment fixation/impressions,1128
childrens fissure sealant,301
implant -,801
examination 5-16 (child) no treatment,124
childrens filling- deciduous tooth,399
implant abutment & impressions,805
fit cr or bridge on implants,845
empress crown,416
filling small white,401
healing cap placement,9986
zirconia ceramic crown,425
whitening instruction,9999
review of implant,813
root canal treatment - stage 1,500
review 10 mins,103
childrens extraction- deciduous tooth,600
new patient consultation - essentials,102
root canal treatment - stage 2,500
bruxism appliance,9999
adult check up - essentials,100
implant healing cap,9986
exam05,100
oral hygiene and dental diet advice,9999
cosmetic bonding,9999
surgical extraction (per time unit),601
oral hygiene advice/cleaning,9999
x-ray,105
childrens filling-adult tooth-small,399
perio check,214
simple extraction of tooth,600
surgical augmentation/extraction,601
extended exam and consultation,100
optident whitening gel,9999
children's filling - adult tooth,401
root,9986
6 mth xray implant cx,814
retainer check,9999
"""refix crown inlay or bridge""",422
invisalign case review,1012
implant x 1 placement,801
de bond,9999
cosmetic services,3034
childrens extraction-adult tooth,600
deposit for treatmant,9999
imp for removable retainers,1128
review 5 minutes,103
60 minutes hygiene,206
specialist endo molar - redo,514
fit rr,9999
appointment for other reason (specify in appointment notes),9999
power whiten upper & lower teeth,1113
exams&pchild,124
crown lab fee,9999
prescription issued,1103
child check up 5-16 - essentials,124
wire adjust,9999
implant x 1 impressions,801
composite filling - front tooth,401
porcelain fused to metal bridge fit,926
cbct radiographic investigation,108
review invisalign,1012
composite adhesive splint,1126
case fee,9999
failed to attend hygienist appointment,9972
labial fixed appliance bond up,9999
dressing in tooth,207
